episode,reward,alpha,ent_ref,ent_ep,argmax_ref,p0,p1,p2,p3,p4,q0,q1,q2,q3,q4,z_norm,loss_actor,loss_critic
75,-153.49295774647888,0.1898571401834488,0.0011186134070158005,0.002831482794135809,1,4.53010756018557e-07,0.9998973608016968,3.0748563695226494e-09,5.3871266572969034e-05,4.828109740628861e-05,-130.42784118652344,-119.319580078125,-125.20753479003906,-125.75028991699219,-127.3038330078125,2.1126521110534666,159.52882232666016,40.03282699584961
76,-145.27727272727273,0.1902799755334854,0.001013191998936236,0.0026517859660089016,1,4.024046234007983e-07,0.9999079704284668,2.691256328901659e-09,4.864260336034931e-05,4.2979710997315124e-05,-131.38230895996094,-119.79121398925781,-125.94542694091797,-126.44910430908203,-128.07704162597656,1.8465364634990693,158.2281723022461,45.2085257768631
77,-153.79545454545456,0.19070196151733398,0.0009212770964950323,0.0020717275328934193,1,3.591796087221155e-07,0.9999170303344727,2.3681889782523058e-09,4.407851520227268e-05,3.844911407213658e-05,-132.3592987060547,-120.16694641113281,-126.63987731933594,-127.17863464355469,-129.03988647460938,1.7970883131027222,155.54847145080566,44.53918933868408
78,-312.575,0.1918582171201706,0.0007142804679460824,0.0008315621525980532,1,2.6509673034524894e-07,0.9999372959136963,1.6832567562019563e-09,3.386531534488313e-05,2.857538675016258e-05,-133.627197265625,-120.1854476928711,-127.69711303710938,-128.09390258789062,-130.71463012695312,2.0218237539132438,156.9146305431019,27.892792961814187
79,-186.80238095238093,0.1922772228717804,0.0006560829933732748,0.002677584532648325,1,2.3961507622516365e-07,0.9999428987503052,1.50267787102365e-09,3.101491165580228e-05,2.5882120098685846e-05,-134.31748962402344,-120.32957458496094,-128.2521514892578,-128.7275848388672,-131.50599670410156,2.0651960492134096,156.84753608703613,34.18627941608429
80,-163.99285714285713,0.19279997050762177,0.0005972362705506384,0.0017042694380506873,1,2.1440335729039361e-07,0.9999485015869141,1.3264449538752388e-09,2.814543040585704e-05,2.3196442271000706e-05,-135.3336944580078,-120.56266021728516,-129.0536651611328,-129.62216186523438,-132.579833984375,2.02285715341568,159.41327209472655,44.41763563156128
81,-182.4714285714286,0.19352999329566956,0.0005230918759480119,0.0012564422795549035,1,1.8338947427309904e-07,0.999955415725708,1.1135190547406637e-09,2.453121851431206e-05,1.9884448192897253e-05,-136.8296356201172,-121.15396881103516,-130.28970336914062,-130.9968719482422,-134.13363647460938,2.0923005898793536,157.2341079711914,36.60676636014666
82,-156.98333333333332,0.19399818778038025,0.0004793694824911654,0.0012558382004499435,1,1.6545109815524484e-07,0.9999594688415527,9.924306931807791e-10,2.2406702555599622e-05,1.7972313798964024e-05,-137.50018310546875,-121.30210876464844,-130.85377502441406,-131.5127410888672,-134.76365661621094,2.1760857105255127,163.12130398220486,26.893857108222115
83,-153.49295774647888,0.19451747834682465,0.00043734192149713635,0.0013176260981708765,1,1.4844466988961358e-07,0.9999632835388184,8.788021421679559e-10,2.0355511878733523e-05,1.6172900359379128e-05,-138.34877014160156,-121.38538360595703,-131.4641571044922,-132.07220458984375,-135.45455932617188,1.9145458817481995,154.31048889160155,30.663395166397095
84,-157.92619047619047,0.1949840486049652,0.00040235958294942975,0.0012982959160581231,1,1.3449955815758585e-07,0.9999665021896362,7.868126705723455e-10,1.8666416508494876e-05,1.4691931028210092e-05,-139.20272827148438,-121.53461456298828,-132.08843994140625,-132.66629028320312,-136.0579833984375,2.070252001285553,159.82568528917102,31.36122226715088
85,-154.0,0.19544991850852966,0.0003721373504959047,0.0009482959285378456,1,1.226880073090797e-07,0.9999692440032959,7.098308607567105e-10,1.7207938071805984e-05,1.3431419574772008e-05,-140.12745666503906,-121.63926696777344,-132.64138793945312,-133.49375915527344,-136.73910522460938,2.08407940864563,160.28550550672742,37.98186471727159
86,-181.30070422535212,0.19591514766216278,0.00034221872920170426,0.0013235670048743486,1,1.111741099180108e-07,0.9999719858169556,6.35722197106503e-10,1.577006150910165e-05,1.2203406186017673e-05,-140.92039489746094,-121.50252532958984,-133.0950927734375,-134.03189086914062,-137.41197204589844,1.9831010401248932,155.37515428331164,36.28032006157769
