已加载 logs/compare/PEARL_seed2\best_model.pt

============================================================================================
Unit 16  seq_len=63  （纯 run 推进，z=zero-context mu）
============================================================================================
  t   pA   pB | argmax |  π:run    修A    修B   修AB    更换 |   Q:run     修A     修B    修AB     更换 | maxRepairQ-runQ
 57   57   57 |    run |  0.733 0.088 0.165 0.012 0.003 |    49.7   45.9   47.0   42.3   39.7 |            -2.7
 58   58   58 |    run |  0.669 0.109 0.194 0.020 0.007 |    43.9   40.6   41.6   37.6   35.7 |            -2.2
 59   59   59 |    run |  0.636 0.120 0.208 0.026 0.011 |    41.3   38.3   39.3   35.5   34.0 |            -2.0
 60   60   60 |    run |  0.611 0.127 0.216 0.031 0.016 |    39.0   36.2   37.2   33.7   32.6 |            -1.8
 61   61   61 |    run |  0.548 0.143 0.234 0.044 0.031 |    34.8   32.4   33.3   30.3   29.8 |            -1.5
 62   62   62 |    run |  0.401 0.163 0.248 0.081 0.106 |    26.5   24.9   25.7   23.7   24.3 |            -0.8
 63   63   63 |     更换 |  0.232 0.151 0.212 0.121 0.284 |    17.4   16.7   17.3   16.4   18.2 |            +0.8  <<切到维修
 64   64   64 |     更换 |  0.190 0.141 0.193 0.128 0.349 |    14.8   14.3   14.9   14.2   16.4 |            +1.6  <<切到维修
    -> 第 64 步 done（故障/终止），停止推进
>> 结论：argmax 在 t=63 切换到维修动作。
