episode,reward,actions
131,-1919,"Counter({6: 99, 0: 79, 2: 6, 5: 4, 4: 4, 1: 4, 3: 4})"
132,-1891,"Counter({6: 87, 0: 75, 4: 11, 2: 8, 1: 7, 3: 6, 5: 6})"
133,-1871,"Counter({6: 94, 0: 79, 2: 8, 4: 6, 3: 5, 5: 5, 1: 3})"
134,-1942,"Counter({6: 93, 0: 76, 1: 9, 5: 8, 4: 6, 2: 6, 3: 2})"
135,-2052,"Counter({6: 93, 0: 70, 2: 12, 3: 8, 5: 8, 4: 7, 1: 2})"
136,-2000,"Counter({6: 100, 0: 78, 3: 7, 4: 6, 5: 4, 2: 3, 1: 2})"
137,-1890,"Counter({6: 96, 0: 78, 5: 7, 3: 6, 1: 6, 2: 5, 4: 2})"
138,-2040,"Counter({6: 97, 0: 74, 4: 8, 1: 6, 2: 6, 5: 5, 3: 4})"
139,-1726,"Counter({6: 94, 0: 84, 4: 6, 2: 5, 1: 5, 3: 5, 5: 1})"
140,-2036,"Counter({6: 97, 0: 76, 4: 7, 5: 7, 3: 5, 1: 4, 2: 4})"
141,-1935,"Counter({6: 96, 0: 79, 5: 7, 4: 5, 3: 5, 1: 4, 2: 4})"
142,-1908,"Counter({6: 96, 0: 78, 1: 6, 5: 5, 3: 5, 2: 5, 4: 5})"
143,-1853,"Counter({6: 95, 0: 79, 1: 7, 5: 7, 2: 5, 3: 5, 4: 2})"
144,-1911,"Counter({6: 97, 0: 77, 3: 9, 5: 7, 1: 5, 2: 4, 4: 1})"
145,-2216,"Counter({6: 98, 0: 70, 5: 10, 1: 9, 4: 8, 3: 5})"
146,-2021,"Counter({6: 97, 0: 73, 3: 8, 4: 7, 2: 7, 5: 4, 1: 4})"
147,-2076,"Counter({6: 96, 0: 74, 4: 10, 2: 7, 5: 6, 1: 4, 3: 3})"
148,-1904,"Counter({6: 97, 0: 80, 5: 6, 1: 5, 3: 5, 4: 4, 2: 3})"
149,-2033,"Counter({6: 98, 0: 73, 1: 8, 2: 7, 5: 6, 4: 5, 3: 3})"
